METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,Geo Local Area,METERID,Geometry
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,13 Hrs,Mount Pleasant,A60003,POINT (49.26562899455662 -123.10437801864501)
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Mount Pleasant,B60015,POINT (49.26565904703973 -123.10604798537835)
Twin,$3.00,$3.00,$3.00,$3.00,$3.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Downtown,170601,POINT (49.275637781182226 -123.1269637678162)
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Mount Pleasant,782117,POINT (49.26602399269678 -123.11092298596162)
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Mount Pleasant,742112,POINT (49.265910033552366 -123.10274003885553)
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,,Mount Pleasant,782218,POINT (49.26502801741395 -123.11076296060628)
Twin / Disability,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,$2.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,Fairview,D00713,POINT (49.26239524175283 -123.12076024176856)
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Mount Pleasant,742209,POINT (49.265183024420395 -123.10296106193108)
Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Mount Pleasant,B60016,POINT (49.265544970977984 -123.10577201299165)
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Fairview,B81524,POINT (49.26447974163952 -123.14003637286135)
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Fairview,B81503,POINT (49.26457048819652 -123.13885635579037)
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,Kitsilano,B61809,POINT (49.266369026796866 -123.14633339773923)
